rt,response,locator,time_elapsed,trial,distractor,target,type,id,file
15011.000000000407,bird,NA,259488,1,practiceDistractor1,practiceTarget1,practice,36,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-352YTHGROW24YKNPJMSXI0VFP4T4HP.json
12975.00000000035,aeroplane,NA,273584,2,practiceDistractor2,practiceTarget2,practice,36,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-352YTHGROW24YKNPJMSXI0VFP4T4HP.json
6063.000000000116,car,NA,287328,3,11,I,known,36,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-352YTHGROW24YKNPJMSXI0VFP4T4HP.json
10951.999999999302,art,NA,300896,4,B,1,unknown,36,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-352YTHGROW24YKNPJMSXI0VFP4T4HP.json
34870.00000000076,screw drive,NA,337631,5,A,10,unknown,36,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-352YTHGROW24YKNPJMSXI0VFP4T4HP.json
7406.9999999993015,cup,NA,347655,6,5,M,known,36,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-352YTHGROW24YKNPJMSXI0VFP4T4HP.json
6476.999999998952,shoe,NA,355999,7,9,C,known,36,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-352YTHGROW24YKNPJMSXI0VFP4T4HP.json
11352.999999999185,shoe,NA,369966,8,16,C,known,36,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-352YTHGROW24YKNPJMSXI0VFP4T4HP.json
6811.999999999884,shoe,NA,377899,9,2,C,known,36,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-352YTHGROW24YKNPJMSXI0VFP4T4HP.json
12127.999999998778,art,NA,391172,10,C,8,unknown,36,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-352YTHGROW24YKNPJMSXI0VFP4T4HP.json
14220.999999999534,sipper,NA,406503,11,K,7,unknown,36,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-352YTHGROW24YKNPJMSXI0VFP4T4HP.json
100991,fork,NA,509389,12,15,G,known,36,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-352YTHGROW24YKNPJMSXI0VFP4T4HP.json
10806.999999998836,art,NA,523323,13,L,4,unknown,36,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-352YTHGROW24YKNPJMSXI0VFP4T4HP.json
13870.999999999185,ring,NA,539939,14,6,F,known,36,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-352YTHGROW24YKNPJMSXI0VFP4T4HP.json
