rt,response,time_elapsed,trial,distractor,target,type,id
9310.100000000151,bird,61159,1,practiceDistractor1,practiceTarget1,practice,18
11740.624999999913,art,78415,3,4,11,known,18
8750.91999999994,KB,88695,5,10,6,known,18
10324.38000000002,bird,107031,8,8,7,known,18
7148.949999999793,plane,115287,10,7,5,known,18
18883.48499999984,dark puzzle,138439,13,B,D,unknown,18
66263.82500000001,plastic,207311,15,F,A,unknown,18
11883.83000000022,fan cover,220799,17,J,A,unknown,18
10403.600000000093,chef hat,232807,19,NA,NA,NA,18
16855.8250000001,folded piece,251767,21,NA,NA,NA,18
10959.345000000205,folded piece,264583,23,NA,NA,NA,18
8941.330000000133,folded piece,274879,25,NA,NA,NA,18
10349.499999999825,not the folded piece,288335,27,NA,NA,NA,18
5423.310000000114,butterfly,295615,29,NA,NA,NA,18
3396.555000000226,fork,300367,31,NA,NA,NA,18
6912.994999999704,pen,308638,33,NA,NA,NA,18
6016.849999999977,shoe,317262,35,NA,NA,NA,18
8510.780000000028,apple,327879,37,NA,NA,NA,18
3475.5,apple,333959,39,NA,NA,NA,18
3846.895000000135,apple,340911,41,NA,NA,NA,18
3332.625,chair,346847,43,NA,NA,NA,18
7007.2800000198185,bird,37608,1,practiceDistractor1,practiceTarget1,practice,24
11321.96000003023,art,51501,3,5,9,known,24
4574.635000026319,mary,57556,5,2,4,known,24
3817.3449999885634,bird,69385,8,8,10,known,24
3891.345000010915,airplane,74887,10,10,12,known,24
23500.930000038352,rolling pin handle facing me,106064,13,K,I,unknown,24
9333.559999999125,vertical art,116259,15,D,G,unknown,24
8719.84999999404,spiky,125853,17,C,G,unknown,24
16261.804999958258,sideways helmet,143224,19,NA,NA,NA,24
15316.229999996722,stick and ball,159401,21,NA,NA,NA,24
10222.415000025649,stick and ball,171236,23,NA,NA,NA,24
5212.8800000064075,stick and ball,178559,25,NA,NA,NA,24
10665.900000021793,symbols,190838,27,NA,NA,NA,24
3009.139999980107,cat,195458,29,NA,NA,NA,24
3348.550000053365,chair,200418,31,NA,NA,NA,24
4311.219999974128,car,206339,33,NA,NA,NA,24
2418.6350000090897,tree,209621,35,NA,NA,NA,24
2509.4699999899603,fork,212997,37,NA,NA,NA,24
2575.4699999815784,fork,218179,39,NA,NA,NA,24
3279.915000020992,fork,222319,41,NA,NA,NA,24
3027.9849999933504,flower,227477,43,NA,NA,NA,24
7567.525000005844,bird,614893,1,practiceDistractor1,practiceTarget1,practice,10
10355.749999987893,art,631600,3,L,F,known,10
11793.790000010631,npc tom,645784,5,J,H,known,10
2863.6249999981374,bird,656672,8,C,G,known,10
4492.655000009108,airplane,662536,10,G,B,known,10
2593.930000002729,ring,667344,13,2,11,unknown,10
2399.0199999971082,chair,670619,15,8,4,unknown,10
1837.6699999935227,dice,673576,17,1,4,unknown,10
6971.765000009327,butterfly,681928,19,NA,NA,NA,10
1628.1350000062957,fork,684432,21,NA,NA,NA,10
2433.0800000025192,fork,687984,23,NA,NA,NA,10
2832.4350000038976,fork,692185,25,NA,NA,NA,10
1857.7400000067428,cat,697161,27,NA,NA,NA,10
5785.814999995637,tool,704816,29,NA,NA,NA,10
6689.904999991995,long,713376,31,NA,NA,NA,10
3629.9899999867193,star,717882,33,NA,NA,NA,10
2475.8849999925587,long,722979,35,NA,NA,NA,10
9028.729999990901,y shaped,733377,37,NA,NA,NA,10
2668.409999998403,y shaped,736913,39,NA,NA,NA,10
6191.444999989471,y shaped,744233,41,NA,NA,NA,10
2883.7599999969825,crown,749758,43,NA,NA,NA,10
9024.200000014389,bird,44859,1,practiceDistractor1,practiceTarget1,practice,39
9157.399999996414,art,60353,3,A,K,known,39
10206.599999975879,Bolund,72425,5,F,E,known,39
4665.300000022398,bird,85098,8,I,B,known,39
15873.300000006566,plane,102580,10,B,L,known,39
10340.700000000652,insect,117544,13,5,4,unknown,39
5462.100000004284,utensil,126110,15,7,8,unknown,39
9082.400000013877,chair,136548,17,1,8,unknown,39
7706.700000009732,shoe,145108,19,NA,NA,NA,39
4062.3000000196043,animal,150276,21,NA,NA,NA,39
4801.099999982398,mammal,156681,23,NA,NA,NA,39
5334.100000007311,feline,163120,25,NA,NA,NA,39
5232.500000012806,flower,171460,27,NA,NA,NA,39
10751.000000018394,bullseye,183817,29,NA,NA,NA,39
24467.299999989336,many protrusions,210137,31,NA,NA,NA,39
6094.000000011874,spikey,217087,33,NA,NA,NA,39
8708.400000003166,ufo,227153,35,NA,NA,NA,39
8922.69999999553,black and white,237181,37,NA,NA,NA,39
5625.399999989895,black and white,245913,39,NA,NA,NA,39
5263.8999999908265,black and white,253782,41,NA,NA,NA,39
12115.699999994831,NOT black and white,269007,43,NA,NA,NA,39
21242.925000377,bird,114457,1,practiceDistractor1,practiceTarget1,practice,34
10412.43499983102,art,128749,3,K,C,known,34
29490.334999747574,HansMichel,160405,5,L,A,known,34
9142.560000531375,bird,177553,8,J,D,known,34
8131.369999609888,plane,188789,10,D,B,known,34
8165.980000048876,shoe,200173,13,12,5,unknown,34
6023.474999703467,fork,208801,15,2,9,unknown,34
8274.000000208616,apple,219681,17,10,9,unknown,34
8955.269999802113,chair,230740,19,NA,NA,NA,34
6261.919999495149,pen,238856,21,NA,NA,NA,34
6251.7450004816055,pen,248212,23,NA,NA,NA,34
6238.840000703931,pen,257556,25,NA,NA,NA,34
6996.999999508262,cat,266408,27,NA,NA,NA,34
9499.270000495017,tall,277012,29,NA,NA,NA,34
15938.954999670386,crunchy,295556,31,NA,NA,NA,34
10296.439999714494,long,307956,33,NA,NA,NA,34
23221.084999851882,ex,333032,35,NA,NA,NA,34
10942.43000075221,tea,347079,37,NA,NA,NA,34
7823.289999738336,tea,356507,39,NA,NA,NA,34
7776.420000009239,tea,366139,41,NA,NA,NA,34
11082.070000469685,y,378575,43,NA,NA,NA,34
14973.06000001845,bird,70939,1,practiceDistractor1,practiceTarget1,practice,31
