mixed_repeated,order,id,trial,target_type,distractor_type,response,time_elapsed,target,distractor,file,occurrence,switch,negation
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,3,known,unknown,flower,413992,L,7,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,1,standard,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,4,unknown,known,art,424222,23,J,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,1,standard,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,5,unknown,known,hart,435488,3,I,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,1,standard,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,6,known,unknown,cup,444690,M,2,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,1,standard,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,7,known,unknown,apple,453640,A,15,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,1,standard,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,8,known,unknown,apple,467763,A,12,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,2,standard,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,9,known,unknown,wire,486100,A,17,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,3,standard,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,10,unknown,known,art,504950,6,A,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,1,switch,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,11,unknown,unknown,art,521103,24,8,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,1,standard,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,12,unknown,unknown,art,534107,27,4,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,1,standard,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,13,unknown,unknown,band,543915,22,16,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,1,standard,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,14,unknown,unknown,doll,566905,9,21,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,1,standard,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,15,unknown,unknown,art,594703,18,20,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,1,standard,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,16,unknown,unknown,art,608836,18,25,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,2,standard,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,17,unknown,unknown,art,628621,18,5,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,3,standard,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,18,unknown,unknown,art,635892,11,18,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3LS2AMNW5GFLF6WALWU05CTL5PZOQB.json,1,switch,FALSE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,3,known,unknown,fruit,128388,A,17,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3IGI0VL64890C9JI542J1IYG0ECONO.json,1,standard,FALSE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,4,unknown,known,not a shoe,142305,26,C,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3IGI0VL64890C9JI542J1IYG0ECONO.json,1,standard,TRUE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,5,unknown,known,not a pen,152100,4,D,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3IGI0VL64890C9JI542J1IYG0ECONO.json,1,standard,TRUE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,6,known,unknown,cat,161940,B,21,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3IGI0VL64890C9JI542J1IYG0ECONO.json,1,standard,FALSE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,7,known,unknown,fork,170995,G,18,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pilots/combined-pilot/4/production-results/3GITHABACYAJJIWJS4ZK6L0ME41N2J-3IGI0VL64890C9JI542J1IYG0ECONO.json,1,standard,FALSE
