mixed_repeated,order,id,trial,response,negation
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,3,flower,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,4,art,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,5,hart,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,6,cup,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,7,apple,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,8,apple,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,9,wire,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,10,art,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,11,art,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,12,art,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,13,band,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,14,doll,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,15,art,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,16,art,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,17,art,FALSE
known repeated,mixed first,0afc96f5dafa9dc7878b1c99aef0f9c5,18,art,FALSE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,3,fruit,FALSE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,4,not a shoe,TRUE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,5,not a pen,TRUE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,6,cat,FALSE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,7,fork,FALSE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,8,fork,FALSE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,9,fork,FALSE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,10,not a fork,TRUE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,11,has five holes,FALSE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,12,spiky,FALSE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,13,looks like two hands in the air,FALSE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,14,darker in color,FALSE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,15,no slots,FALSE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,16,lighter in color,FALSE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,17,not spiky,TRUE
known repeated,mixed first,1bf8fcc64c6df01e907c1ddc5c97db81,18,darker in color,FALSE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,3,ring,FALSE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,4,5 holes,FALSE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,5,plastic,FALSE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,6,shoe,FALSE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,7,chair,FALSE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,8,chair,FALSE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,9,chair,FALSE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,10,cloth,FALSE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,11,one circle,FALSE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,12,arms together,FALSE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,13,not circle,TRUE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,14,symmetrical object,FALSE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,15,dark object,FALSE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,16,dark object,FALSE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,17,bell shaped,FALSE
known repeated,mixed first,24f5593323876399b22e73f1f0098372,18,the lighter object,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,3,flower,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,4,art,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,5,fork,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,6,ring,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,7,tree,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,8,tree,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,9,tree,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,10,hat,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,11,top,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,12,balls,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,13,plug,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,14,hanger,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,15,tool,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,16,tool,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,17,tool,FALSE
known repeated,mixed first,3acaef572d8344eb44c01194ff73908b,18,weight,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,3,flower,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,4,fork,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,5,puzzle,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,6,car,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,7,butterfly,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,8,butterfly,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,9,butterfly,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,10,butterfly,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,11,rope,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,12,helmet,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,13,pump,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,14,hook,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,15,tap,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,16,tap,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,17,tap,FALSE
known repeated,mixed first,4b2cf7ec49c3fe8020e2953b7fa2ecb2,18,plane,FALSE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,3,cat,FALSE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,4,rubber guard with circular shape on sides,FALSE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,5,blocks,FALSE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,6,fork,FALSE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,7,apple,FALSE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,8,apple,FALSE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,9,apple,FALSE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,10,squeeze pump,FALSE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,11,sand dollar looking thing attached to sides with two longer pieces,FALSE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,12,bell shaped object,FALSE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,13,plastic looking guard with three oval holes on top and square holes on the side,FALSE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,14,circular item with spikelike things on it looks a bit like  vertebra,FALSE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,15,looks like two conoraviruses attached to each other waiting to kill us all,FALSE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,16,again two conoraviruses attached to one another,TRUE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,17,its coronavirus again this time I spelled it right sorry,FALSE
known repeated,mixed first,58a00a156c39e2fd43f93197646fe4bf,18,This is a spindly monster ball of worms,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,3,dice,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,4,joystrick,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,5,monoplane,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,6,leather shoe,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,7,fork,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,8,fork,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,9,fork,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,10,surfing,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,11,paddle,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,12,bronze sculpture,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,13,gun barrel,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,14,sphere,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,15,reptile,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,16,reptile,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,17,reptile,FALSE
known repeated,mixed first,6448cca9988f17c85050f5a2ebd76feb,18,rearview mirror,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,3,nature,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,4,plastic bubble,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,5,cloud shaped metal,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,6,writing,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,7,wings,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,8,wings,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,9,wings,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,10,donut tree,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,11,round with hole,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,12,pole with bell,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,13,bell,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,14,poky thing,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,15,three legged,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,16,three legged,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,17,three leg,FALSE
known repeated,mixed first,911a67eafd2fc4e82a03a7dd7b78fc1f,18,blimp,FALSE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,3,not a spoon but,TRUE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,4,weird shape,FALSE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,5,weird seaweed,FALSE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,6,jewelry,FALSE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,7,used in games,FALSE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,8,used in games,FALSE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,9,used in games,FALSE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,10,has holes,FALSE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,11,flip plop,FALSE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,12,flower shape,FALSE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,13,candle with hands,FALSE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,14,has two legs,FALSE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,15,its round,FALSE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,16,has only 3 legs,FALSE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,17,has three legs,FALSE
known repeated,mixed first,9756f4ba08aa1a40ee0b3975266aebb9,18,two balls with spikes,FALSE
known repeated,mixed first,a5bfa9eb582a36b34321dbc4debc028b,3,ring,FALSE
known repeated,mixed first,a5bfa9eb582a36b34321dbc4debc028b,4,devic,FALSE
known repeated,mixed first,a5bfa9eb582a36b34321dbc4debc028b,5,weight,FALSE
known repeated,mixed first,a5bfa9eb582a36b34321dbc4debc028b,6,flower,FALSE
known repeated,mixed first,a5bfa9eb582a36b34321dbc4debc028b,7,mug,FALSE
known repeated,mixed first,a5bfa9eb582a36b34321dbc4debc028b,8,mug,FALSE
