rt,response,time_elapsed,trial,distractor,target,type,id
9795.799999963492,Select the bird,36673,1,practiceDistractor1,practiceTarget1,practice,6
5837.820000015199,Choose the airplane,42620,2,practiceDistractor2,practiceTarget2,practice,6
5452.144999988377,Choose the tree,48178,3,B,J,known,6
5783.94999995362,Choose the car,54068,4,F,I,known,6
6143.889999948442,Choose the die,60319,5,D,H,known,6
5941.149999969639,Choose the shoe,66368,6,A,C,known,6
4844.204999972135,Choose the flower,71318,7,A,L,known,6
5049.249999923632,Choose the flower,76475,8,K,L,known,6
6523.4850000124425,Choose the flower,83104,9,E,L,known,6
5225.209999945946,Choose the fork,88436,10,L,G,known,6
8290.730000007898,Choose the pink object,96834,11,7,3,unknown,6
17736.844999948516,Choose the bulb object,114707,12,6,10,unknown,6
7998.130000079982,Choose the yellow object,122811,13,8,2,unknown,6
8517.705000005662,Choose the colorful object,131434,14,12,5,unknown,6
10514.835000038147,Choose the red object,142054,15,12,1,unknown,6
10226.939999964088,Choose the red object,152387,16,4,1,unknown,6
5885.144999949262,Choose the red object,158380,17,9,1,unknown,6
6523.184999939986,Choose the toy,165010,18,1,11,unknown,6
9331.680000002962,This object flies,40002,1,practiceDistractor1,practiceTarget1,practice,15
8028.130000006058,This object flies,48140,2,practiceDistractor2,practiceTarget2,practice,15
4849.694999997155,you can sit on it,53102,3,C,E,known,15
10033.230000000913,you put this up at christmas,63246,4,L,J,known,15
7235.014999998384,it goes on your finger,70589,5,A,F,known,15
8246.664999998757,this can be driven,78946,6,G,I,known,15
4924.834999997984,used to write,83980,7,G,D,known,15
5751.029999999446,used to write,89839,8,B,D,known,15
4049.0800000115996,used to write,93997,9,H,D,known,15
7841.560000000754,an insect that can fly,101947,10,D,K,known,15
11501.430000003893,its has multiple colors,113558,11,11,5,unknown,15
8476.890000005369,has a tye dye look to it,122145,12,10,3,unknown,15
9164.580000011483,can be set on a table,131418,13,6,1,unknown,15
17542.869999990216,used to relieve stress,149069,14,8,4,unknown,15
7759.874999988824,is a toy,156937,15,8,9,unknown,15
5112.085000000661,is a toy,162160,16,12,9,unknown,15
4624.404999995022,is a toy,166896,17,7,9,unknown,15
7758.54999999865,can store things,174765,18,9,2,unknown,15
12938.420000020415,bird,79666,1,practiceDistractor1,practiceTarget1,practice,23
6151.960000046529,plane,85922,2,practiceDistractor2,practiceTarget2,practice,23
3872.5150000536814,shoe,89897,3,G,C,known,23
5873.3899999642745,tree,95873,4,H,J,known,23
3769.7149999439716,car,99746,5,E,I,known,23
3115.295000025071,flower,102970,6,D,L,known,23
2191.414999892004,cat,105265,7,D,B,known,23
2193.749999976717,car,107561,8,K,B,known,23
4018.084999988787,cat,111682,9,F,B,known,23
4239.434999995865,apple,116025,10,B,A,known,23
9951.94000005722,yellow,126081,11,11,2,unknown,23
6000.62499998603,blue,132185,12,4,7,unknown,23
9312.76500003878,dumbbell,141602,13,3,5,unknown,23
8246.580000035465,spaceship,149953,14,10,12,unknown,23
5815.470000030473,lava lamp,155873,15,10,1,unknown,23
5361.130000092089,lava lamp,161337,16,9,1,unknown,23
3359.6450000768527,red,164801,17,6,1,unknown,23
6440.539999981411,ball,171345,18,1,8,unknown,23
17331.66500000516,a pigeon,145190,1,practiceDistractor1,practiceTarget1,practice,37
6705.970000009984,airplane,152001,2,practiceDistractor2,practiceTarget2,practice,37
16416.130000026897,white compact car,168521,3,B,I,known,37
15434.115000010934,yellow flower,184059,4,F,L,known,37
9512.295000022277,black shoe,193677,5,D,C,known,37
8217.905000026803,6 on a dice,201998,6,G,H,known,37
9916.224999993574,staight back chair,212018,7,G,E,known,37
10147.33000000706,straight back chair,222269,8,A,E,known,37
10355.434999975841,straight back chair,232729,9,J,E,known,37
7484.620000002906,butterfly,240318,10,E,K,known,37
29124.12499997299,brownish blob,269545,11,7,2,unknown,37
20216.01000003284,brown bearskin rug like,289865,12,4,11,unknown,37
29919.830000028014,grey connector with holes,319890,13,8,6,unknown,37
19680.674999952316,broken chair roller,339674,14,5,12,unknown,37
10272.669999976642,long red 8,350050,15,5,1,unknown,37
6909.725000034086,long red 8,357063,16,9,1,unknown,37
6001.36500003282,long red 8,363169,17,10,1,unknown,37
30662.899999995716,psychodelic headdress,393936,18,1,3,unknown,37
10709.230000000389,pidgeon,50744,1,practiceDistractor1,practiceTarget1,practice,25
8577.414999999746,airplane,59425,2,practiceDistractor2,practiceTarget2,practice,25
4177.104999998846,fork,63706,3,L,G,known,25
2376.1349999986123,apple,66186,4,I,A,known,25
2616.684999997233,cat,68906,5,H,B,known,25
2681.83499999941,pen,71691,6,C,D,known,25
2408.9899999999034,tree,74203,7,C,J,known,25
2360.725000002276,tree,76667,8,E,J,known,25
2511.770000000979,tree,79284,9,K,J,known,25
2498.8549999980023,ring,81884,10,J,F,known,25
7752.909999999247,block,89741,11,1,11,unknown,25
11314.785000002303,crumple,101159,12,7,8,unknown,25
12651.079999999638,bulb,113913,13,6,10,unknown,25
31341.34500000073,greenorange,145358,14,12,9,unknown,25
7610.175000001618,clear,153070,15,12,2,unknown,25
3393.319999999221,clear,156567,16,5,2,unknown,25
2624.514999999519,clear,159295,17,4,2,unknown,25
4912.524999999732,rainbow,164312,18,2,3,unknown,25
28936.174999922514,city bird,172394,1,practiceDistractor1,practiceTarget1,practice,39
40364.92000008002,air transportation,212866,2,practiceDistractor2,practiceTarget2,practice,39
9817.670000251383,eating utensil,222787,3,H,G,known,39
39120.82500010729,These make up a forest,262012,4,K,J,known,39
73299.51000027359,You can sit in it,335420,5,L,E,known,39
15593.675000127405,What most people drive,351120,6,A,I,known,39
79498.83499974385,likes mice,430724,7,A,B,known,39
55767.245000228286,Tom from Tom  Jerry,486598,8,F,B,known,39
19919.204999692738,usually a pet,506620,9,C,B,known,39
18279.89500015974,You use it to write,525004,10,B,D,known,39
33494.91499969736,Type of art,558604,11,3,8,unknown,39
33073.880000039935,Toy for Dogs,591780,12,10,11,unknown,39
23663.51500013843,Made of clay,615550,13,2,7,unknown,39
55978.59499976039,Another form of art,671633,14,5,1,unknown,39
66300.82000000402,like a fan,738037,15,5,6,unknown,39
44198.57499981299,similar to a pencil sharpener,782343,16,9,6,unknown,39
26479.625000152737,comes in a pair,808926,17,12,6,unknown,39
35150.83499997854,toy for pets,844180,18,6,4,unknown,39
15272.14500005357,Pigeon,74348,1,practiceDistractor1,practiceTarget1,practice,22
5605.56499985978,Aircraft,80064,2,practiceDistractor2,practiceTarget2,practice,22
6003.939999965951,apple,86179,3,I,A,known,22
4873.670000117272,dice,91160,4,G,H,known,22
4882.694999920204,pen,96149,5,E,D,known,22
6831.030000001192,butterfly,103094,6,K,J,known,22
34676.80999985896,Large Ring,137880,7,K,F,known,22
6864.234999986365,Large Ring,144856,8,C,F,known,22
5327.419999986887,Large Ring,150294,9,L,F,known,22
3900.1050000078976,cat,154299,10,F,B,known,22
9829.445000039414,Y shaped chew toy,164238,11,2,4,unknown,22
15844.89499987103,Looks like crumpled paper,180193,12,10,8,unknown,22
24442.534999921918,Flapping snowshoe,204745,13,12,7,unknown,22
36928.22999996133,Red statue modern decor,241781,14,9,1,unknown,22
25276.42000000924,LGBTQ Weight,267167,15,9,5,unknown,22
7791.674999985844,LGBTQ Weight,275069,16,6,5,unknown,22
9646.44500007853,LGBTQ Weight,284823,17,11,5,unknown,22
19775.774999987334,Pink flamingo crown,304705,18,5,3,unknown,22
24772.689999983413,Pigeon,56466,1,practiceDistractor1,practiceTarget1,practice,3
5477.144999982556,Airplane,62050,2,practiceDistractor2,practiceTarget2,practice,3
4670.465000002878,Apple,66827,3,E,A,known,3
8542.329999996582,Christmas Tree,75475,4,B,J,known,3
4702.9899999906775,Butterfly,80283,5,C,K,known,3
5365.754999977071,Sunflower,85753,6,D,L,known,3
4849.649999989197,Automobile,90708,7,D,I,known,3
4600.155000021914,Automobile,95414,8,G,I,known,3
5091.80500000366,Automobile,100610,9,F,I,known,3
13455.844999989495,Six Sided Dice,114172,10,I,H,known,3
15179.550000000745,Glass bulb,129456,11,1,2,unknown,3
11314.429999998538,White and black machine,140875,12,7,8,unknown,3
13970.72000001208,Colorful Waves,154950,13,10,3,unknown,3
7518.219999998109,Orange YShape,162573,14,9,4,unknown,3
14169.934999983525,Red Jello,176847,15,9,11,unknown,3
4570.739999995567,Red Jello,181522,16,5,11,unknown,3
4091.0399999993388,Red Jello,185718,17,6,11,unknown,3
10618.630000011763,Metal Saucer,196441,18,11,12,unknown,3
21609.78000005707,The bird is in the blue square,91581,1,practiceDistractor1,practiceTarget1,practice,20
6458.5100000258535,The plane is in the blue square,98148,2,practiceDistractor2,practiceTarget2,practice,20
7114.974999800324,the chair is in the blue square,105406,3,D,E,known,20
6407.300000078976,The apple is in the blue square,111926,4,L,A,known,20
6976.529999868944,The fork is in the blue square,119006,5,I,G,known,20
6650.204999838024,The ring is in the blue square,125767,6,C,F,known,20
6021.769999992102,The cat is in the blue square,131894,7,C,B,known,20
7188.49500012584,The cat is in the blue square,139187,8,J,B,known,20
6839.394999900833,The cat is in the blue square,146135,9,H,B,known,20
6931.080000009388,The butterfly is in the blue square,153176,10,B,K,known,20
8965.360000031069,The orange object is in the blue square,162253,11,5,4,unknown,20
7692.290000151843,The black object is in the blue square,170054,12,2,6,unknown,20
14587.900000158697,The black bulb with red tip is in the blue square,184751,13,11,10,unknown,20
9817.915000021458,The silver object is in the blue square,194675,14,7,12,unknown,20
8666.904999874532,The orange and green object is in the blue square,203447,15,7,9,unknown,20
22789.110000012442,The orange and green object is in the blue square,226346,16,3,9,unknown,20
8718.735000118613,The orange and green object is in the blue square,235179,17,8,9,unknown,20
8316.265000030398,The red statue is in the blue square,243607,18,9,1,unknown,20
41946.5649999911,the pigeon,84819,1,practiceDistractor1,practiceTarget1,practice,33
10584.025000003749,its an airplane,95610,2,practiceDistractor2,practiceTarget2,practice,33
8539.925000004587,the yellow flower,104363,3,K,L,known,33
8514.125000001513,a die like from a game,113003,4,H,A,known,33
20774.044999998296,a wooden chair with a fabric seat,134038,5,J,E,known,33
8552.154999997583,a black laceup shoe,142775,6,D,C,known,33
3924.200000008568,a fork,146975,7,D,G,known,33
6392.514999999548,a fork,153527,8,I,G,known,33
2608.634999996866,a fork,156249,9,B,G,known,33
2502.9000000067754,a fork,158919,10,G,F,known,33
11968.695000003208,a red sculpture shiny,171056,11,1,8,unknown,33
15639.960000000428,a red oblect with protrusions sticking out,186919,12,11,7,unknown,33
21000.935000003665,a bumpy orange thing with three branches looks like a dog toy,208040,13,6,4,unknown,33
20776.540000006207,a green plastic thing with orange arms,228999,14,3,9,unknown,33
23368.80999999994,a thing with swirly pink color like a roosters comb,252486,15,3,5,unknown,33
28108.739999996033,a multicolor long thing with ends that rest on the floor,280728,16,12,5,unknown,33
17558.639999988372,a multicolor thing long with sides that rest on the floor,298402,17,10,5,unknown,33
9385.150000001886,a long multicolor thing,307909,18,5,2,unknown,33
11410.909999976866,pigeon,31037,1,practiceDistractor1,practiceTarget1,practice,9
3716.0900000017136,plane,34857,2,practiceDistractor2,practiceTarget2,practice,9
4872.7599999983795,chair,39833,3,I,E,known,9
3921.405000030063,pen,43857,4,F,D,known,9
6797.1099999849685,butterfly,50756,5,J,K,known,9
2866.700000013225,fork,53726,6,C,G,known,9
2721.389999962412,dice,56551,7,C,H,known,9
2796.3999999919906,dice,59451,8,B,H,known,9
3389.610000012908,dice,62944,9,A,H,known,9
3588.690000004135,flower,66636,10,H,L,known,9
5632.370000006631,red toy,72380,11,3,11,unknown,9
8116.77000002237,black clip,80601,12,12,6,unknown,9
12680.525000032503,blue,93386,13,5,7,unknown,9
6008.554999949411,black and red,99498,14,2,10,unknown,9
3820.4750000149943,red art,103421,15,2,1,unknown,9
3737.604999972973,red art,107261,16,4,1,unknown,9
2661.5699999965727,red art,110026,17,9,1,unknown,9
5259.684999997262,black and white,115389,18,1,8,unknown,9
9530.030000001716,pigeon,65441,1,practiceDistractor1,practiceTarget1,practice,32
17583.580000005895,the object in the blue square is an airplane,83131,2,practiceDistractor2,practiceTarget2,practice,32
10166.834999996354,object in blue square is a die,93409,3,I,H,known,32
9219.819999998435,object in blue square is a fork,102736,4,A,G,known,32
19492.85499999678,object in blue square is a fir tree,122336,5,E,J,known,32
7013.655000002473,object in blue square is a yellow butterfly,129456,6,F,K,known,32
9649.474999998347,object in blue square is a cat sitting down,139212,7,F,B,known,32
5709.510000000591,object in blue square is a cat sitting down,145032,8,D,B,known,32
5697.084999999788,object in blue square is a cat sitting down,150836,9,L,B,known,32
8486.045000005106,object in blue square is a black mens dress shoe,159428,10,B,C,known,32
37810.129999998026,object in blue square is a red rubber dog toy with two x shapes intersecting each other,197350,11,3,11,unknown,32
40474.590000005264,object in blue squareis a 7pointed 3d object that is silver and black and seems to be made of a reflective surface,237936,12,6,8,unknown,32
21128.394999999728,object in blue square is an orange rubber dog toy covered in spikes shaped like the letter Y,259174,13,1,4,unknown,32
41146.73000000039,object in blue square is a blue plastic snowboardshape with two arms forming an oval shape above it,300432,14,12,7,unknown,32
90923.90499999601,object in blue square is a yellow hollow glass object shaped like  sideways snowman only made of two balls,391466,15,12,2,unknown,32
40073.199999998906,object in blue square is a yellow hollow plastic or glass shaped like a sideways snowman made of two snowballs,431655,16,9,2,unknown,32
31418.90499999863,object in blue square is a yellow glass shape hollow and shaped like a sideways snowman,463193,17,10,2,unknown,32
53623.679999996966,object in blue square is a multicolored rubber rod with three upside down Y shapes on each end,516931,18,2,5,unknown,32
19078.974999996717,the pigeon,54958,1,practiceDistractor1,practiceTarget1,practice,14
9342.980000001262,the airplane,64406,2,practiceDistractor2,practiceTarget2,practice,14
6494.749999998021,the chair,71006,3,H,E,known,14
3564.0649999986636,the apple,74674,4,I,A,known,14
2844.2199999990407,the cat,77622,5,B,K,known,14
5351.264999990235,the fork,83076,6,D,G,known,14
3065.9599999926286,the ring,86246,7,D,F,known,14
2792.65000000305,the ring,89142,8,L,F,known,14
2720.3650000010384,the ring,91966,9,C,F,known,14
3710.720000002766,the pine,95780,10,F,J,known,14
14373.845000009169,the blue tool,110260,11,12,7,unknown,14
7667.959999991581,the pump,118041,12,6,10,unknown,14
9023.514999993495,the white object,127167,13,11,8,unknown,14
9108.554999998887,the red sculpture,136379,14,4,1,unknown,14
5212.79499999946,the pink sculpture,141697,15,4,3,unknown,14
4657.479999994393,the pink sculpture,146458,16,9,3,unknown,14
4909.394999995129,the pink sculpture,151471,17,5,3,unknown,14
12848.784999994677,the yellow vase made of glass,164423,18,3,2,unknown,14
11349.625000002561,Bird,26561,1,practiceDistractor1,practiceTarget1,practice,13
4920.964999997523,Plane,31606,2,practiceDistractor2,practiceTarget2,practice,13
3305.7799999951385,Tree,35042,3,C,J,known,13
3506.9650000077672,Ring,38688,4,K,F,known,13
4606.050000002142,Apple,43465,5,B,A,known,13
3248.6449999851175,Car,46864,6,D,I,known,13
4031.669999996666,Fork,51097,7,D,G,known,13
3879.5849999878556,Fork,55167,8,H,G,known,13
2856.98000001139,Fork,58246,9,L,G,known,13
4374.214999988908,Chair,62740,10,G,E,known,13
13352.665000013076,Sculpture,76250,11,2,1,unknown,13
21357.405000017025,Decor,97763,12,10,3,unknown,13
18932.0000000007,Multicolor,116955,13,6,5,unknown,13
6674.549999996088,Spiky,123749,14,11,4,unknown,13
3522.739999985788,Blue,127407,15,11,7,unknown,13
5590.700000000652,Blue,133142,16,8,7,unknown,13
3720.5850000027567,Blue,136999,17,12,7,unknown,13
7897.395000007236,Green,145083,18,7,9,unknown,13
8809.974999632686,PIGEON,30888,1,practiceDistractor1,practiceTarget1,practice,10
5205.169999971986,guitar,36199,2,practiceDistractor2,practiceTarget2,practice,10
4100.349999964237,fork,40407,3,G,C,known,10
3244.244999717921,tree,43759,4,F,J,known,10
2359.12000015378,cat,46223,5,D,B,known,10
3839.8799998685718,flower,50167,6,K,L,known,10
3485.185000114143,apple,53759,7,K,A,known,10
3702.599999960512,apple,57567,8,I,A,known,10
3540.604999754578,apple,61216,9,H,A,known,10
3309.750000014901,chair,64631,10,A,E,known,10
14172.57499974221,squishy,78912,11,1,11,unknown,10
7006.159999873489,toy,86024,12,3,9,unknown,10
4467.120000161231,airplane,90600,13,7,5,unknown,10
7613.16499998793,balloon,98321,14,12,10,unknown,10
4838.769999798387,gold,103265,15,12,2,unknown,10
3165.450000204146,knob,106537,16,6,2,unknown,10
3709.925000090152,knob,110353,17,4,2,unknown,10
7564.094999805093,astronaut,118025,18,2,8,unknown,10
7925.409999996191,bird,56600,1,practiceDistractor1,practiceTarget1,practice,35
4408.3450000034645,plane,61117,2,practiceDistractor2,practiceTarget2,practice,35
2853.3899999893038,flower,64090,3,A,L,known,35
4527.02500000305,die,68726,4,I,H,known,35
2737.9649999929825,ring,71574,5,J,F,known,35
2333.6100000014994,chair,74017,6,K,E,known,35
2371.3500000012573,pen,76497,7,K,D,known,35
1809.2299999989336,pen,78414,8,B,D,known,35
1842.1999999991385,pen,80374,9,G,D,known,35
2243.4400000056485,shoe,82728,10,D,C,known,35
8044.2650000040885,orange thing,90884,11,9,2,unknown,35
4890.820000000531,white one,95885,12,11,8,unknown,35
7011.480000001029,6 pointed,103009,13,1,5,unknown,35
7347.490000000107,pink thing,110464,14,10,3,unknown,35
3927.6350000000093,3 pointed,114504,15,10,4,unknown,35
5500.674999988405,dog toy,120116,16,6,4,unknown,35
7990.0199999974575,orange toy,128221,17,7,4,unknown,35
6943.409999992582,metal thing,135274,18,4,12,unknown,35
6713.220000005094,A bird that is often in cities,27961,1,practiceDistractor1,practiceTarget1,practice,18
6806.34499998996,flying machine,34871,2,practiceDistractor2,practiceTarget2,practice,18
4421.624999988126,not a knife,39395,3,H,G,known,18
3018.0450000043493,a red fruit,42517,4,B,A,known,18
13874.515000003157,what a catterpillar becomes,56494,5,D,K,known,18
