rt,response,time_elapsed,trial,distractor,target,type,id
5824.105000006966,pigeon,956517,1,practiceDistractor1,practiceTarget1,practice,33
4078.9199999999255,airplane,960698,2,practiceDistractor2,practiceTarget2,practice,33
3571.8099999940023,ring,964374,3,K,F,known,33
2985.5500000412576,apple,967462,4,G,A,known,33
2791.4150000433438,tree,970356,5,C,J,known,33
3415.55499995593,chair,973874,6,B,E,known,33
2066.304999985732,car,976044,7,B,I,known,33
2452.609999978449,car,978600,8,L,I,known,33
2035.2999999886379,car,980738,9,H,I,known,33
3014.4800000125542,pen,983856,10,I,D,known,33
22310.29499997385,letter Y,1006270,11,3,4,unknown,33
8457.965000008699,plastic container,1014830,12,11,2,unknown,33
15300.919999950565,cushion,1030235,13,9,7,unknown,33
36822.67500000307,aspirator,1067159,14,5,10,unknown,33
3483.665000007022,top,1070745,15,5,12,unknown,33
3407.8650000155903,top,1074255,16,6,12,unknown,33
3406.8050000350922,top,1077765,17,8,12,unknown,33
4933.675000036601,trophy,1082801,18,12,1,unknown,33
5045.894999988377,me,54633,1,practiceDistractor1,practiceTarget1,practice,7
2122.495000017807,me,56872,2,practiceDistractor2,practiceTarget2,practice,7
3363.4999999776483,im it,60357,3,B,I,known,7
2647.944999858737,yep me,63125,4,G,C,known,7
3946.070000063628,hi pick me,67189,5,E,J,known,7
3567.8899998310953,pick me,70877,6,A,K,known,7
2200.7699999958277,pick me,73196,7,A,D,known,7
1965.3849999886006,im it,75316,8,H,D,known,7
3458.749999990687,pick me,78909,9,F,D,known,7
1932.4300000444055,im it,80957,10,D,L,known,7
2331.389999948442,pick me,83404,11,1,6,unknown,7
2740.3299999423325,select me,86269,12,11,3,unknown,7
2431.0500000137836,click on me,88817,13,12,10,unknown,7
5376.964999828488,hi pick me,94315,14,4,7,unknown,7
2637.140000006184,im the one,97093,15,4,2,unknown,7
2303.5649999510497,me,99509,16,8,2,unknown,7
2365.5799999833107,pick me,101989,17,9,2,unknown,7
1998.0750000104308,click on me,104103,18,2,5,unknown,7
10158.209999994142,bird,113239,1,practiceDistractor1,practiceTarget1,practice,40
8795.750000004773,airplane,122140,2,practiceDistractor2,practiceTarget2,practice,40
5799.899999998161,tree,128046,3,A,J,known,40
4295.264999993378,cat,132446,4,G,B,known,40
5299.075000002631,shoe,137852,5,L,C,known,40
4472.93499999796,car,142429,6,F,I,known,40
5461.79500001017,pen,147997,7,F,D,known,40
5596.695000000182,pen,153697,8,H,D,known,40
9652.610000004643,pen,163455,9,E,D,known,40
10230.839999989257,butterfly,173790,10,D,K,known,40
20214.18999999878,weird shaped vase,194110,11,7,1,unknown,40
17773.83999999438,plastic thing,211991,12,12,6,unknown,40
22189.27000000258,looks like a broken object,234286,13,10,8,unknown,40
18505.899999989197,weird shaped dark sphere,252897,14,9,11,unknown,40
24574.03499999782,glass orby object,277576,15,9,2,unknown,40
8128.624999997555,glass orby object,285810,16,3,2,unknown,40
9227.999999988242,glass orby object,295143,17,5,2,unknown,40
11648.280000008526,spiky object,306896,18,2,4,unknown,40
6827.00499999919,pigeon,46638,1,practiceDistractor1,practiceTarget1,practice,26
3708.214999991469,plane,50452,2,practiceDistractor2,practiceTarget2,practice,26
1696.8250000209082,cat,52253,3,L,B,known,26
2365.669999999227,chair,54727,4,F,E,known,26
2290.2649999887217,dice,57123,5,I,H,known,26
3540.8599999791477,butterfly,60768,6,C,K,known,26
2585.380000004079,tree,63457,7,C,J,known,26
3058.359999995446,tree,66618,8,G,J,known,26
3357.479999976931,christmas tree,70083,9,A,J,known,26
3125.9250000002794,pen,73312,10,J,D,known,26
3595.045000023674,cactus,77013,11,3,4,unknown,26
12260.945000016363,flying saucer,89377,12,6,12,unknown,26
14059.594999998808,marbled sculpture,103541,13,1,7,unknown,26
11327.384999982314,sculpture that looks like broken ceramic pieces,114972,14,2,8,unknown,26
13540.515000000596,sculpture that looks like asterisk,128618,15,2,11,unknown,26
