experiment,order,id,trial,type,response,time_elapsed,target,distractor,occurrence,switch,negation
1b,unknown first,021b6b350350cf2b3b13982e143b2081,3,unknown,merged bulbs,137896,2,M,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,4,known,tree,144712,J,15,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,5,unknown,weight,153761,5,K,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,6,known,shoe,159719,C,10,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,7,unknown,blimp,171078,16,D,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,8,unknown,blimp,179852,16,I,2,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,9,unknown,blimp,184844,16,H,3,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,10,known,apple,193751,A,16,1,switch,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,11,known,sunflower,200580,L,11,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,12,unknown,top,208865,12,E,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,13,unknown,napkin holder,219361,7,G,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,14,known,ring,226017,F,6,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,15,known,cat,232112,B,1,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,16,known,cat,238606,B,8,2,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,17,known,cat,242030,B,4,3,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,18,unknown,hat,251335,3,B,1,switch,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,3,known,cat,108831,B,G,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,4,known,flower,115348,L,I,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,5,known,shoe,119846,C,A,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,6,known,dice,124643,H,J,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,7,known,cup,131393,M,E,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,8,known,cup,137151,M,N,2,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,9,known,mug,142468,M,K,3,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,10,known,ring,148475,F,M,1,switch,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,11,unknown,bunny looking thing,163583,3,4,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,12,unknown,one piece,174557,11,1,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,13,unknown,long bone like,184709,5,15,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,14,unknown,wide opening,195409,7,2,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,15,unknown,round shaped,206819,8,6,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,16,unknown,round shaped,215724,8,10,2,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,17,unknown,round shaped,222593,8,12,3,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,18,unknown,blimp,230359,16,8,1,switch,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,3,unknown,FLUFFY,96210,4,3,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,4,unknown,ROUND,102362,1,5,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,5,unknown,DISK,118418,12,7,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,6,unknown,BLIMP,124380,16,2,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,7,unknown,SHAKER,130356,10,8,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,8,unknown,SHAKER,135441,10,9,2,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,9,unknown,SHAKER,142566,10,6,3,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,10,unknown,ODD SHAPE,162895,11,10,1,switch,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,11,known,RING,169766,F,A,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,12,known,CAT,173933,B,N,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,13,known,DIE,177595,H,E,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,14,known,FLOWER,181812,L,I,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,15,known,CUP,187049,M,C,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,16,known,CUP,190449,M,K,2,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,17,known,CUP,195558,M,D,3,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,18,known,FORK,200109,G,M,1,switch,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,3,unknown,baster,169250,10,8,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,4,unknown,spiky balls,181535,1,7,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,5,unknown,figurine,195168,5,16,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,6,unknown,doorknob,216870,2,12,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,7,unknown,spiky ball,246888,11,6,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,8,unknown,spiky ball,254880,11,9,2,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,9,unknown,spiky ball,264614,11,4,3,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,10,unknown,blocks,276608,15,11,1,switch,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,11,known,apple,284732,A,N,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,12,known,ring,290956,F,B,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,13,known,shoe,296490,C,I,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,14,known,butterfly,305409,K,M,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,15,known,chair,312140,E,L,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,16,known,chair,318689,E,D,2,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,17,known,chair,326114,E,J,3,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,18,known,die,334032,H,E,1,switch,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,3,unknown,rearview mirror,156460,12,A,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,4,known,white pine,176267,J,16,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,5,unknown,monoplane,196722,5,G,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,6,known,black hairstreak,211722,K,2,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,7,unknown,bronze sculpture,225555,3,B,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,8,unknown,bronze sculpture,238915,3,D,2,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,9,unknown,preengagement ring Search Results Web results,253066,3,F,3,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,10,known,mug,269610,M,3,1,switch,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,11,known,dice game,288818,H,6,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,12,unknown,circular saw,305746,1,N,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,13,unknown,dumbbell,324411,9,L,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,14,known,leather,340818,C,15,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,15,known,peugeot 206,355786,I,10,1,standard,FALSE
