experiment,id,trial,response,negation
1b,021b6b350350cf2b3b13982e143b2081,3,merged bulbs,FALSE
1b,021b6b350350cf2b3b13982e143b2081,4,tree,FALSE
1b,021b6b350350cf2b3b13982e143b2081,5,weight,FALSE
1b,021b6b350350cf2b3b13982e143b2081,6,shoe,FALSE
1b,021b6b350350cf2b3b13982e143b2081,7,blimp,FALSE
1b,021b6b350350cf2b3b13982e143b2081,8,blimp,FALSE
1b,021b6b350350cf2b3b13982e143b2081,9,blimp,FALSE
1b,021b6b350350cf2b3b13982e143b2081,10,apple,FALSE
1b,021b6b350350cf2b3b13982e143b2081,11,sunflower,FALSE
1b,021b6b350350cf2b3b13982e143b2081,12,top,FALSE
1b,021b6b350350cf2b3b13982e143b2081,13,napkin holder,FALSE
1b,021b6b350350cf2b3b13982e143b2081,14,ring,FALSE
1b,021b6b350350cf2b3b13982e143b2081,15,cat,FALSE
1b,021b6b350350cf2b3b13982e143b2081,16,cat,FALSE
1b,021b6b350350cf2b3b13982e143b2081,17,cat,FALSE
1b,021b6b350350cf2b3b13982e143b2081,18,hat,FALSE
1a,03f75c337c8b819f896360ec537411e5,3,cat,FALSE
1a,03f75c337c8b819f896360ec537411e5,4,flower,FALSE
1a,03f75c337c8b819f896360ec537411e5,5,shoe,FALSE
1a,03f75c337c8b819f896360ec537411e5,6,dice,FALSE
1a,03f75c337c8b819f896360ec537411e5,7,cup,FALSE
1a,03f75c337c8b819f896360ec537411e5,8,cup,FALSE
1a,03f75c337c8b819f896360ec537411e5,9,mug,FALSE
1a,03f75c337c8b819f896360ec537411e5,10,ring,FALSE
1a,03f75c337c8b819f896360ec537411e5,11,bunny looking thing,FALSE
1a,03f75c337c8b819f896360ec537411e5,12,one piece,FALSE
1a,03f75c337c8b819f896360ec537411e5,13,long bone like,FALSE
1a,03f75c337c8b819f896360ec537411e5,14,wide opening,FALSE
1a,03f75c337c8b819f896360ec537411e5,15,round shaped,FALSE
1a,03f75c337c8b819f896360ec537411e5,16,round shaped,FALSE
1a,03f75c337c8b819f896360ec537411e5,17,round shaped,FALSE
1a,03f75c337c8b819f896360ec537411e5,18,blimp,FALSE
1a,053181285a47b96d23954fa3b9167fb8,3,FLUFFY,FALSE
1a,053181285a47b96d23954fa3b9167fb8,4,ROUND,FALSE
1a,053181285a47b96d23954fa3b9167fb8,5,DISK,FALSE
1a,053181285a47b96d23954fa3b9167fb8,6,BLIMP,FALSE
1a,053181285a47b96d23954fa3b9167fb8,7,SHAKER,FALSE
1a,053181285a47b96d23954fa3b9167fb8,8,SHAKER,FALSE
1a,053181285a47b96d23954fa3b9167fb8,9,SHAKER,FALSE
1a,053181285a47b96d23954fa3b9167fb8,10,ODD SHAPE,FALSE
1a,053181285a47b96d23954fa3b9167fb8,11,RING,FALSE
1a,053181285a47b96d23954fa3b9167fb8,12,CAT,FALSE
1a,053181285a47b96d23954fa3b9167fb8,13,DIE,FALSE
1a,053181285a47b96d23954fa3b9167fb8,14,FLOWER,FALSE
1a,053181285a47b96d23954fa3b9167fb8,15,CUP,FALSE
1a,053181285a47b96d23954fa3b9167fb8,16,CUP,FALSE
1a,053181285a47b96d23954fa3b9167fb8,17,CUP,FALSE
1a,053181285a47b96d23954fa3b9167fb8,18,FORK,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,3,baster,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,4,spiky balls,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,5,figurine,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,6,doorknob,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,7,spiky ball,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,8,spiky ball,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,9,spiky ball,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,10,blocks,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,11,apple,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,12,ring,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,13,shoe,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,14,butterfly,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,15,chair,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,16,chair,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,17,chair,FALSE
1a,061b5843fc6d4e4115c2862d2b4eb138,18,die,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,3,rearview mirror,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,4,white pine,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,5,monoplane,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,6,black hairstreak,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,7,bronze sculpture,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,8,bronze sculpture,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,9,preengagement ring Search Results Web results,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,10,mug,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,11,dice game,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,12,circular saw,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,13,dumbbell,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,14,leather,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,15,peugeot 206,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,16,peugeot 206,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,17,peugeot 206,FALSE
1b,06820a1a2009a30a38e5b76d31e9ea18,18,monochrome Search Results Web results,FALSE
1b,08ff9fecbfe37b9ab0724b08ea45cec7,3,shoe,FALSE
1b,08ff9fecbfe37b9ab0724b08ea45cec7,4,balls,FALSE
1b,08ff9fecbfe37b9ab0724b08ea45cec7,5,blimp,FALSE
1b,08ff9fecbfe37b9ab0724b08ea45cec7,6,tree,FALSE
1b,08ff9fecbfe37b9ab0724b08ea45cec7,7,flower,FALSE
1b,08ff9fecbfe37b9ab0724b08ea45cec7,8,flower,FALSE
1b,08ff9fecbfe37b9ab0724b08ea45cec7,9,flower,FALSE
1b,08ff9fecbfe37b9ab0724b08ea45cec7,10,blocks,FALSE
1b,08ff9fecbfe37b9ab0724b08ea45cec7,11,toy,FALSE
1b,08ff9fecbfe37b9ab0724b08ea45cec7,12,cup,FALSE
