mixed_repeated,order,id,trial,target_type,distractor_type,response,time_elapsed,target,distractor,file,occurrence,switch,negation
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,3,known,unknown,tree,123255,J,2,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,1,standard,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,4,unknown,known,toy shape,135394,11,F,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,1,standard,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,5,unknown,known,puzzle pieces,147066,23,B,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,1,standard,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,6,known,unknown,shoe,155208,C,9,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,1,standard,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,7,known,unknown,fork,164424,G,3,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,1,standard,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,8,known,unknown,fork,172062,G,22,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,2,standard,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,9,known,unknown,fork,180028,G,24,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,3,standard,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,10,unknown,known,has holes,190505,18,G,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,1,switch,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,11,unknown,unknown,round and no handle,206883,17,20,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,1,standard,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,12,unknown,unknown,bulb you can squeeze,225188,10,12,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,1,standard,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,13,unknown,unknown,looks like a person with arms up,239925,25,16,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,1,standard,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,14,unknown,unknown,a lot of wires intertwined,254116,21,15,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,1,standard,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,15,unknown,unknown,broken ball,265439,8,5,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,1,standard,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,16,unknown,unknown,broken ball,275238,8,26,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,2,standard,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,17,unknown,unknown,broken ball,284352,8,6,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,3,standard,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,18,unknown,unknown,has legs,292982,27,8,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-36V4Q8R5ZLPXF3BY8GFND84GDQIQM1.json,1,switch,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,3,known,unknown,ring,88993,F,4,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,4,unknown,known,flip flop,100144,7,C,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,5,unknown,known,rings,106431,21,E,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,6,known,unknown,dice,113317,H,27,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,standard,FALSE
