mixed_repeated,order,id,trial,response,negation
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,3,tree,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,4,toy shape,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,5,puzzle pieces,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,6,shoe,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,7,fork,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,8,fork,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,9,fork,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,10,has holes,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,11,round and no handle,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,12,bulb you can squeeze,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,13,looks like a person with arms up,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,14,a lot of wires intertwined,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,15,broken ball,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,16,broken ball,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,17,broken ball,FALSE
known repeated,mixed first,03b5dbb2470e41c22ae1753999ee63bb,18,has legs,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,3,ring,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,4,flip flop,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,5,rings,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,6,dice,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,7,pen,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,8,pen,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,9,pen,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,10,toy,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,11,blob,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,12,gray,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,13,flaps,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,14,toy,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,15,gray,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,16,flat,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,17,flat,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,18,circle,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,3,shoe,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,4,not the pen,TRUE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,5,not the chair,TRUE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,6,car,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,7,flower,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,8,flower,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,9,flower,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,10,not the flower,TRUE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,11,stick plunger,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,12,4 tails,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,13,loopty loop,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,14,forkinstrument,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,15,not the spiky ring,TRUE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,16,vasecontainer,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,17,vasecontainer,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,18,not the vasecontainer,TRUE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,3,o,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,4,turkey baster,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,5,basket with holes maybe a lacrosse basket,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,6,butterfly,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,7,o,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,8,o,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,9,o,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,10,dumbell or dog toy,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,11,building blocks arranged in a snake shape,FALSE
